Model,F1_Train,F1_Test,F1_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.45959727213195206,0.4629735570517353,0.47195855678226656,0.5338248048568951,0.5333333333333333,0.9989667542868238,1.007404952851518
svc,0.4489224526722445,0.46196740930275926,0.4590660077385741,0.52601908065915,0.5363636363636364,1.000352342259321,1.0137891743124845
random_forest,0.4745180171592619,0.4229413996855857,0.465082139380141,0.5555073720728534,0.5060606060606061,0.935928709989626,1.0071869684455148
xgboost,0.48238618722795,0.41849530337772217,0.4668784967053265,0.559410234171726,0.4909090909090909,0.9842405869988504,1.0297052402265152
