Model,F1_Train,F1_Test,Accuracy_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.4397835950680369,0.43170750082149184,0.553030303030303,0.5201735357917571,0.5060606060606061,1.0092533864503903,1.0086679070501843
svc,0.4603799873332977,0.45172311348781935,0.5454545454545454,0.5357917570498916,0.5212121212121212,0.9941667433679704,1.006442902853897
random_forest,0.44578826521598985,0.4319392308574262,0.553030303030303,0.527114967462039,0.5121212121212121,1.003656390938585,1.0120903841630648
xgboost,0.4630693983911945,0.43726992217867644,0.5492424242424242,0.5422993492407809,0.5121212121212121,0.997994882191598,1.026673058307532
