Model,F1_Train,F1_Test,Accuracy_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.44563158061869895,0.4481118881118881,0.5568181818181818,0.5223427331887202,0.5212121212121212,1.0015875968655297,1.0040614624130864
svc,0.464484494452223,0.45932323802328423,0.5416666666666666,0.5401301518438177,0.5303030303030303,0.9930588159439688,1.0098041993079654
random_forest,0.4640426744262967,0.42575366232275397,0.553030303030303,0.545770065075922,0.503030303030303,0.9572139955385588,1.0044664482467065
xgboost,0.4639619375358596,0.4187312414178086,0.5492424242424242,0.544468546637744,0.49393939393939396,1.0328670523171828,1.0507516174605398
