Model,F1_Train,F1_Test,Accuracy_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.4567685763459563,0.45380333951762525,0.5643939393939394,0.5327548806941431,0.5272727272727272,0.9893983778568088,0.9979615625471979
svc,0.45596946184553944,0.45380333951762525,0.5492424242424242,0.5323210412147505,0.5272727272727272,0.996178956463431,1.0110838138650038
random_forest,0.4588218603077205,0.42882154882154877,0.553030303030303,0.5422993492407809,0.509090909090909,0.9805239266844347,1.0070962087780664
xgboost,0.47480546550993236,0.4310874668883814,0.5492424242424242,0.5535791757049892,0.503030303030303,0.9682075812863166,1.0183172383091665
