Model,F1_Train,F1_Test,Accuracy_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.4479487732473389,0.4503963704235827,0.553030303030303,0.5245119305856834,0.5242424242424243,0.992973816755455,0.9974364623135054
svc,0.46472971051752243,0.46024774266256774,0.5378787878787878,0.5401301518438177,0.5303030303030303,0.9932675820633035,1.0045331434177425
random_forest,0.43344505676242295,0.4164500289798016,0.5492424242424242,0.5214750542299349,0.5060606060606061,0.999147287529491,1.009963060273109
xgboost,0.4626340073063757,0.4343412736995625,0.5454545454545454,0.5427331887201735,0.509090909090909,1.0081502296402243,1.0342964208487309
