Model,F1_Train,F1_Test,Accuracy_Train,Accuracy_Test,LogLoss_Best_Opt,LogLoss_Train,LogLoss_Test
logistic_regression,0.45547958879977923,0.4540542007626648,0.5310195227765727,0.5242424242424243,0.9762031488221954,0.9877109764926578,0.9951556521089523
svc,0.4620081176928841,0.45172311348781935,0.5375271149674621,0.5212121212121212,0.9836076177578797,0.9930102856725906,1.0128327706446418
random_forest,0.4647309216605088,0.4279418348635107,0.547939262472885,0.5060606060606061,0.9868480591809269,0.9547235142461931,0.9986870982970979
xgboost,0.482328821004625,0.4366520262603502,0.5570498915401302,0.509090909090909,0.9882272839207541,0.9408909208927134,1.0062304783499603
