Model,F1_Train,F1_Test,Accuracy_Train,Accuracy_Test,LogLoss_Best_Opt,LogLoss_Train,LogLoss_Test
logistic_regression,0.4588086366720612,0.4562038293381577,0.5336225596529284,0.5272727272727272,0.9786111437357708,0.9857216262490919,0.9953088686687247
svc,0.4633378300927788,0.46024774266256774,0.5383947939262473,0.5303030303030303,0.9925457351313862,0.9949045979236749,1.004759262875985
random_forest,0.45473410910552703,0.41990763739397624,0.5383947939262473,0.49696969696969695,0.9908473040482896,0.9786022272526406,1.0061660133326615
xgboost,0.4838433417861306,0.42863253785117394,0.558351409978308,0.5,0.9955104676950158,0.9373930608178943,1.0121716054551528
