Model,F1_Train,F1_Test,Accuracy_Train,Accuracy_Test,LogLoss_Best_Opt,LogLoss_Train,LogLoss_Test
logistic_regression,0.4596195927951411,0.4588951123091584,0.5340563991323211,0.5303030303030303,0.9807378152532972,0.9870480843919732,0.9965252074595431
svc,0.46490958716791825,0.45932323802328423,0.5405639913232104,0.5303030303030303,0.9886457352985566,0.9932250483323013,1.0069282349517947
random_forest,0.45490934707948666,0.4359760323330451,0.5370932754880694,0.5151515151515151,0.9917645630514854,0.9802042576745104,1.0044903465370376
xgboost,0.4821919165458692,0.4319466876890734,0.5540130151843817,0.503030303030303,0.999442485358679,0.9461978084870378,1.0065599185499279
