Model,F1_Train,F1_Test,Accuracy_Best_Opt,Accuracy_Train,Accuracy_Test,LogLoss_Train,LogLoss_Test
logistic_regression,0.4567713416038701,0.4678432802842151,0.5340909090909091,0.53122289679098,0.5393939393939394,0.9949891201597632,1.003810350553239
svc,0.4489296682798471,0.46196740930275926,0.5416666666666666,0.52601908065915,0.5363636363636364,1.0003110364809102,1.0105679347757104
random_forest,0.4262937996830743,0.4036830893973751,0.5454545454545454,0.5221162185602776,0.503030303030303,1.010443266628432,1.0151120598587897
xgboost,0.4810061739327541,0.42796726160026,0.5265151515151515,0.5585429314830876,0.503030303030303,0.9922686454428865,1.0346833764603645
