Model,F1_Train,F1_Test,Accuracy_Train,Accuracy_Test,LogLoss_Best_Opt,LogLoss_Train,LogLoss_Test
logistic_regression,0.4573214015507116,0.45170586988768807,0.5323210412147505,0.5242424242424243,0.9815034084508366,0.9873695434919219,0.9981021987630104
svc,0.4559699683197383,0.45380333951762525,0.5323210412147505,0.5272727272727272,0.9907282642558624,0.9962097910006285,1.006299891606491
random_forest,0.4643195750424329,0.4223019508994008,0.5475054229934924,0.5,0.993283665960049,0.9560659165470257,1.0039724381325137
xgboost,0.4754795119449278,0.43689221187971883,0.5540130151843817,0.509090909090909,0.9996153313215032,0.9474611712704512,1.0123728065328164
