Model,F1_Train,F1_Test,Accuracy_Train,Accuracy_Test,LogLoss_Best_Opt,LogLoss_Train,LogLoss_Test
logistic_regression,0.4521381942142127,0.4561657777958718,0.5277536860364267,0.5272727272727272,0.9981055783854306,0.9960117123745431,1.0026338726884123
svc,0.4489224526722445,0.46196740930275926,0.52601908065915,0.5363636363636364,1.0007938935049239,1.0017794676406397,1.0148145797978825
random_forest,0.4387851577053125,0.42021748244886314,0.5281873373807459,0.5121212121212121,1.0035060944989542,0.9904625089754395,1.0089508036942938
xgboost,0.4578925348958023,0.43596146564394395,0.5368603642671292,0.5121212121212121,1.0133168349663417,0.9604249131209108,1.0098570214979576
